"N-GQD_CA"
"Wavelength nm."	"Abs."
861.00	0.0031
862.00	0.0031
863.00	0.0031
864.00	0.0030
865.00	0.0030
866.00	0.0030
867.00	0.0030
868.00	0.0029
869.00	0.0029
870.00	0.0029
871.00	0.0029
872.00	0.0029
873.00	0.0029
874.00	0.0028
875.00	0.0029
876.00	0.0028
877.00	0.0028
878.00	0.0028
879.00	0.0028
880.00	0.0028
881.00	0.0028
882.00	0.0027
883.00	0.0027
884.00	0.0027
885.00	0.0028
886.00	0.0027
887.00	0.0028
888.00	0.0028
889.00	0.0028
890.00	0.0028
891.00	0.0028
892.00	0.0028
893.00	0.0028
894.00	0.0028
895.00	0.0028
896.00	0.0029
897.00	0.0029
898.00	0.0029
899.00	0.0029
900.00	0.0029
901.00	0.0030
902.00	0.0030
903.00	0.0031
904.00	0.0031
905.00	0.0031
906.00	0.0031
907.00	0.0032
908.00	0.0032
909.00	0.0033
910.00	0.0033
911.00	0.0034
912.00	0.0034
913.00	0.0034
914.00	0.0034
915.00	0.0035
916.00	0.0035
917.00	0.0035
918.00	0.0036
919.00	0.0036
920.00	0.0036
921.00	0.0037
922.00	0.0038
923.00	0.0038
924.00	0.0038
925.00	0.0039
926.00	0.0039
927.00	0.0040
928.00	0.0040
929.00	0.0040
930.00	0.0040
931.00	0.0040
932.00	0.0040
933.00	0.0040
934.00	0.0040
935.00	0.0040
936.00	0.0040
937.00	0.0040
938.00	0.0040
939.00	0.0040
940.00	0.0039
941.00	0.0039
942.00	0.0040
943.00	0.0039
944.00	0.0039
945.00	0.0039
946.00	0.0039
947.00	0.0039
948.00	0.0039
949.00	0.0039
950.00	0.0038
951.00	0.0038
952.00	0.0039
953.00	0.0039
954.00	0.0039
955.00	0.0040
956.00	0.0040
957.00	0.0041
958.00	0.0042
959.00	0.0042
960.00	0.0042
961.00	0.0041
962.00	0.0042
963.00	0.0042
964.00	0.0042
965.00	0.0041
966.00	0.0041
967.00	0.0041
968.00	0.0040
969.00	0.0040
970.00	0.0039
971.00	0.0039
972.00	0.0038
973.00	0.0038
974.00	0.0037
975.00	0.0037
976.00	0.0036
977.00	0.0036
978.00	0.0035
979.00	0.0035
980.00	0.0034
981.00	0.0033
982.00	0.0033
983.00	0.0032
984.00	0.0031
985.00	0.0031
986.00	0.0030
987.00	0.0029
988.00	0.0029
989.00	0.0028
990.00	0.0027
991.00	0.0027
992.00	0.0026
993.00	0.0026
994.00	0.0025
995.00	0.0025
996.00	0.0024
997.00	0.0023
998.00	0.0023
999.00	0.0022
1000.00	0.0022
1001.00	0.0022
1002.00	0.0021
1003.00	0.0021
1004.00	0.0020
1005.00	0.0020
1006.00	0.0020
1007.00	0.0020
1008.00	0.0019
1009.00	0.0018
1010.00	0.0018
1011.00	0.0018
1012.00	0.0018
1013.00	0.0018
1014.00	0.0018
1015.00	0.0017
1016.00	0.0017
1017.00	0.0017
1018.00	0.0016
1019.00	0.0016
1020.00	0.0016
1021.00	0.0016
1022.00	0.0016
1023.00	0.0016
1024.00	0.0016
1025.00	0.0016
1026.00	0.0016
1027.00	0.0017
1028.00	0.0017
1029.00	0.0016
1030.00	0.0016
1031.00	0.0016
1032.00	0.0016
1033.00	0.0017
1034.00	0.0018
1035.00	0.0018
1036.00	0.0018
1037.00	0.0018
1038.00	0.0018
1039.00	0.0018
1040.00	0.0018
1041.00	0.0018
1042.00	0.0018
1043.00	0.0019
1044.00	0.0018
1045.00	0.0019
1046.00	0.0019
1047.00	0.0020
1048.00	0.0020
1049.00	0.0020
1050.00	0.0020
1051.00	0.0021
1052.00	0.0021
1053.00	0.0022
1054.00	0.0021
1055.00	0.0021
1056.00	0.0021
1057.00	0.0021
1058.00	0.0022
1059.00	0.0022
1060.00	0.0022
1061.00	0.0022
1062.00	0.0022
1063.00	0.0022
1064.00	0.0023
1065.00	0.0023
1066.00	0.0023
1067.00	0.0023
1068.00	0.0024
1069.00	0.0024
1070.00	0.0025
1071.00	0.0025
1072.00	0.0025
1073.00	0.0025
1074.00	0.0026
1075.00	0.0026
1076.00	0.0026
1077.00	0.0027
1078.00	0.0027
1079.00	0.0028
1080.00	0.0027
1081.00	0.0028
1082.00	0.0030
1083.00	0.0030
1084.00	0.0030
1085.00	0.0030
1086.00	0.0030
1087.00	0.0030
1088.00	0.0031
1089.00	0.0030
1090.00	0.0029
1091.00	0.0029
1092.00	0.0030
1093.00	0.0030
1094.00	0.0029
1095.00	0.0027
1096.00	0.0028
1097.00	0.0030
1098.00	0.0029
1099.00	0.0028
1100.00	0.0028
