TITLE	ACcitrico
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/05
TIME	11:57:49
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    83,31934
MAXY	   103,34169
MINY	    69,06387
XYDATA
655,6788	91,8075
656,6430	91,7665
657,6072	91,7037
658,5715	91,6075
659,5357	91,4697
660,4999	91,2954
661,4642	91,1075
662,4284	90,9373
663,3926	90,806
664,3569	90,7111
665,3211	90,619
666,2853	90,4597
667,2496	90,142
668,2138	89,643
669,1780	89,0986
670,1423	88,6719
671,1065	88,3797
672,0707	88,1423
673,0350	87,8804
673,9992	87,5491
674,9634	87,1421
675,9277	86,6857
676,8919	86,2169
677,8561	85,7575
678,8204	85,3071
679,7846	84,8608
680,7488	84,429
681,7131	84,0407
682,6773	83,7298
683,6415	83,5183
684,6058	83,4092
685,5700	83,3914
686,5342	83,4474
687,4985	83,5587
688,4627	83,7072
689,4269	83,8762
690,3912	84,0487
691,3554	84,2067
692,3196	84,3335
693,2839	84,4206
694,2481	84,479
695,2123	84,549
696,1766	84,7006
697,1408	85,018
698,1050	85,5701
699,0693	86,3804
700,0335	87,4101
700,9977	88,5639
701,9620	89,7153
702,9262	90,7416
703,8904	91,5557
704,8547	92,1231
705,8189	92,4583
706,7831	92,6048
707,7474	92,6109
708,7116	92,5153
709,6758	92,3443
710,6401	92,117
711,6043	91,8507
712,5685	91,5606
713,5328	91,2579
714,4970	90,9479
715,4612	90,6331
716,4255	90,3177
717,3897	90,0093
718,3539	89,716
719,3182	89,4399
720,2824	89,1728
721,2466	88,9003
722,2109	88,6104
723,1751	88,3026
724,1393	87,9877
725,1036	87,6827
726,0678	87,402
727,0320	87,1513
727,9963	86,9247
728,9605	86,707
729,9247	86,4775
730,8890	86,2179
731,8532	85,9194
732,8174	85,5872
733,7817	85,2398
734,7459	84,9
735,7101	84,5821
736,6744	84,283
737,6386	83,9834
738,6028	83,6601
739,5671	83,3022
740,5313	82,9197
741,4955	82,5388
742,4598	82,1857
743,4240	81,8705
744,3882	81,5816
745,3525	81,2943
746,3167	80,986
747,2809	80,6484
748,2452	80,2885
749,2094	79,919
750,1736	79,5472
751,1379	79,1697
752,1021	78,7773
753,0663	78,3656
754,0306	77,9439
754,9948	77,5347
755,9590	77,1644
756,9233	76,85
757,8875	76,5895
758,8517	76,3631
759,8160	76,1433
760,7802	75,9087
761,7444	75,653
762,7087	75,3866
763,6729	75,1294
764,6371	74,9022
765,6014	74,7191
766,5656	74,586
767,5298	74,5014
768,4941	74,4597
769,4583	74,4543
770,4225	74,4799
771,3868	74,5342
772,3510	74,6159
773,3152	74,7194
774,2795	74,8288
775,2437	74,9154
776,2079	74,9463
777,1722	74,904
778,1364	74,8093
779,1006	74,7352
780,0649	74,7992
781,0291	75,1323
781,9933	75,8335
782,9576	76,9293
783,9218	78,3549
784,8860	79,9681
785,8503	81,592
786,8145	83,067
787,7787	84,2911
788,7430	85,2338
789,7072	85,923
790,6714	86,4189
791,6357	86,7874
792,5999	87,083
793,5641	87,3436
794,5284	87,5918
795,4926	87,8393
796,4568	88,0898
797,4211	88,3411
798,3853	88,5881
799,3495	88,8256
800,3138	89,0524
801,2780	89,272
802,2422	89,4924
803,2065	89,7215
804,1707	89,9629
805,1349	90,2115
806,0992	90,4525
807,0634	90,6625
808,0276	90,8129
808,9919	90,8714
809,9561	90,8019
810,9203	90,5654
811,8846	90,1254
812,8488	89,465
813,8130	88,6104
814,7773	87,6498
815,7415	86,7332
816,7057	86,0428
817,6700	85,7403
818,6342	85,913
819,5984	86,5422
820,5627	87,5103
821,5269	88,6421
822,4911	89,7614
823,4554	90,7396
824,4196	91,5188
825,3839	92,1062
826,3481	92,5481
827,3123	92,8995
828,2766	93,2007
829,2408	93,4692
830,2050	93,7032
831,1693	93,893
832,1335	94,032
833,0977	94,1224
834,0620	94,1747
835,0262	94,2026
835,9904	94,2179
836,9547	94,2283
837,9189	94,2376
838,8831	94,2476
839,8474	94,2592
840,8116	94,2718
841,7758	94,2834
842,7401	94,2912
843,7043	94,2925
844,6685	94,2855
845,6328	94,2679
846,5970	94,2363
847,5612	94,1854
848,5255	94,1113
849,4897	94,0158
850,4539	93,909
851,4182	93,8073
852,3824	93,7261
853,3466	93,6719
